song_title,artist_name,song_duration_ms,artist_natural_key,song_natural_key,year,month,hour_of_day,day_of_week
her majesty - remastered 2009,the beatles,25986,3WrFJ7ztbogyGnTHbHJFl2,6UCFZ9ZOFRxK8oak7MdPZu,2026,3,23,Monday
the end - remastered 2009,the beatles,141613,3WrFJ7ztbogyGnTHbHJFl2,5aHHf6jrqDRb1fcBmue2kn,2026,3,23,Monday
carry that weight - remastered 2009,the beatles,96466,3WrFJ7ztbogyGnTHbHJFl2,5eZrW59C3UgBhkqNlowEID,2026,3,23,Monday
golden slumbers - remastered 2009,the beatles,91760,3WrFJ7ztbogyGnTHbHJFl2,01SfTM5nfCou5gQL70r6gs,2026,3,23,Monday
she came in through the bathroom window - remastered 2009,the beatles,118626,3WrFJ7ztbogyGnTHbHJFl2,2jtUGFsqanQ82zqDlhiKIp,2026,3,23,Monday
she came in through the bathroom window - remastered 2009,the beatles,118626,3WrFJ7ztbogyGnTHbHJFl2,2jtUGFsqanQ82zqDlhiKIp,2026,3,23,Monday
polythene pam - remastered 2009,the beatles,72640,3WrFJ7ztbogyGnTHbHJFl2,1FTCA6wQwulQFokDddKE68,2026,3,23,Monday
mean mr mustard - remastered 2009,the beatles,66533,3WrFJ7ztbogyGnTHbHJFl2,4JOyMhad5dD81uGYLGgKrS,2026,3,23,Monday
sun king - remastered 2009,the beatles,146266,3WrFJ7ztbogyGnTHbHJFl2,4nwKdZID1ht0lDBJ5h2p87,2026,3,22,Monday
you never give me your money - remastered 2009,the beatles,242973,3WrFJ7ztbogyGnTHbHJFl2,1jOLTO379yIu9aMnCkpMQl,2026,3,22,Monday
a day in the life - remastered 2009,the beatles,337413,3WrFJ7ztbogyGnTHbHJFl2,0hKRSZhUGEhKU6aNSPBACZ,2026,3,22,Monday
m.a.i,milo j,184027,19HM5j0ULGSmEoRcrSe5x3,35ttE4t8lQZA2vuCYDg4G7,2026,3,16,Monday
gil,milo j,233653,19HM5j0ULGSmEoRcrSe5x3,5jgmQkVypORb3enASCxjYs,2026,3,2,Monday
capaz (merengueton),alleh,173858,3DeOmVSmpv7WknXoo1OS8p,2dd3G3ZqEcG2cNS1tp3oEk,2026,3,2,Monday
kloufrens,bad bunny,199114,4q3ewBCX7sLwd24euuV69X,4MUrUT38U98olfnyzMBCzm,2026,3,2,Monday
nuevayol,bad bunny,183685,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5,2026,3,2,Monday
