song_title,artist_name,played_at,song_duration_ms,artist_natural_key,song_natural_key
Her Majesty - Remastered 2009,The Beatles,2026-03-02T23:10:18.877Z,25986,3WrFJ7ztbogyGnTHbHJFl2,6UCFZ9ZOFRxK8oak7MdPZu
The End - Remastered 2009,The Beatles,2026-03-02T23:09:21.816Z,141613,3WrFJ7ztbogyGnTHbHJFl2,5aHHf6jrqDRb1fcBmue2kn
Carry That Weight - Remastered 2009,The Beatles,2026-03-02T23:07:13.158Z,96466,3WrFJ7ztbogyGnTHbHJFl2,5eZrW59C3UgBhkqNlowEID
Golden Slumbers - Remastered 2009,The Beatles,2026-03-02T23:05:36.920Z,91760,3WrFJ7ztbogyGnTHbHJFl2,01SfTM5nfCou5gQL70r6gs
She Came In Through The Bathroom Window - Remastered 2009,The Beatles,2026-03-02T23:04:16.166Z,118626,3WrFJ7ztbogyGnTHbHJFl2,2jtUGFsqanQ82zqDlhiKIp
She Came In Through The Bathroom Window - Remastered 2009,The Beatles,2026-03-02T23:03:56.818Z,118626,3WrFJ7ztbogyGnTHbHJFl2,2jtUGFsqanQ82zqDlhiKIp
Polythene Pam - Remastered 2009,The Beatles,2026-03-02T23:02:07.226Z,72640,3WrFJ7ztbogyGnTHbHJFl2,1FTCA6wQwulQFokDddKE68
Mean Mr Mustard - Remastered 2009,The Beatles,2026-03-02T23:00:54.458Z,66533,3WrFJ7ztbogyGnTHbHJFl2,4JOyMhad5dD81uGYLGgKrS
Sun King - Remastered 2009,The Beatles,2026-03-02T22:59:48.065Z,146266,3WrFJ7ztbogyGnTHbHJFl2,4nwKdZID1ht0lDBJ5h2p87
You Never Give Me Your Money - Remastered 2009,The Beatles,2026-03-02T22:57:21.660Z,242973,3WrFJ7ztbogyGnTHbHJFl2,1jOLTO379yIu9aMnCkpMQl
A Day In The Life - Remastered 2009,The Beatles,2026-03-02T22:51:16.974Z,337413,3WrFJ7ztbogyGnTHbHJFl2,0hKRSZhUGEhKU6aNSPBACZ
M.A.I,Milo j,2026-03-02T16:12:47.856Z,184027,19HM5j0ULGSmEoRcrSe5x3,35ttE4t8lQZA2vuCYDg4G7
Gil,Milo j,2026-03-02T02:56:24.499Z,233653,19HM5j0ULGSmEoRcrSe5x3,5jgmQkVypORb3enASCxjYs
capaz (merengueton),Alleh,2026-03-02T02:52:17.565Z,173858,3DeOmVSmpv7WknXoo1OS8p,2dd3G3ZqEcG2cNS1tp3oEk
KLOuFRENS,Bad Bunny,2026-03-02T02:49:22.905Z,199114,4q3ewBCX7sLwd24euuV69X,4MUrUT38U98olfnyzMBCzm
NUEVAYoL,Bad Bunny,2026-03-02T02:23:15.218Z,183685,4q3ewBCX7sLwd24euuV69X,5TFD2bmFKGhoCRbX61nXY5
